,ABANY,ABDEFECT,ABFELEGL,ABHELP1,ABHELP2,ABHELP3,ABHELP4,ABHLTH,ABINSPAY,ABMEDGOV1,ABMEDGOV2,ABMELEGL,ABMORAL,ABNOMORE,ABPOOR,ABPOORW,ABRAPE,ABSINGLE,ABSTATE1,ABSTATE2,ACQNTSEX,ACTSSOC,adminconsent,ADULTS,ADVFRONT
508,NO,NO,It depends,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,WRONG ONLY SOMETIMES,NO,NO,Hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,Agree
509,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Hard,Make it easier,NA,Very good,R does not consent to possible data linkage,2,NA
510,NA,NA,Should,No,No,No,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NA,NA,ALWAYS WRONG,NA,NA,Neither easy nor hard,Make it easier,NA,Very good,R consents to possible data linkage,2,Agree
511,NO,YES,It depends,No,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NO,YES,NA,NO,NO,Neither easy nor hard,NA,NA,Good,R consents to possible data linkage,1,NA
512,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,WRONG ONLY SOMETIMES,YES,YES,Very hard,Make it easier,NA,Excellent,R does not consent to possible data linkage,2,Strongly agree
513,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,It depends,YES,YES,ALMOST ALWAYS WRONG,YES,YES,NA,NA,NA,Very good,R consents to possible data linkage,2,Strongly agree
514,YES,YES,NA,Yes,Yes,Yes,Yes,YES,NA,A woman and her medical professional should decide,NA,It depends,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Very hard,Make it easier,NA,Very good,R consents to possible data linkage,2,Strongly agree
515,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Hard,Make it easier,NA,Good,R consents to possible data linkage,2,Agree
516,NO,YES,It depends,Yes,NA,Yes,Yes,YES,NA,A woman and her medical professional should decide,NA,NA,It depends,NO,NO,NA,NO,NO,Easy,Stay the same as now,NA,Excellent,R does not consent to possible data linkage,2,NA
517,YES,YES,NA,Yes,No,No,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Very good,R consents to possible data linkage,2,NA
518,NA,YES,Should,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,YES,NA,Hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,Agree
519,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,1,NA
520,NA,NA,NA,No,No,Yes,No,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
521,NO,NO,NA,No,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,Should not,Morally opposed,NO,YES,NA,YES,NO,Hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
522,NA,NA,Should not,No,No,No,Yes,NA,People should not be able,The government should decide,NA,NA,Morally opposed,NA,NA,ALWAYS WRONG,NA,NA,NA,Make it harder,NA,Very good,R consents to possible data linkage,2,Agree
523,NA,NA,NA,No,No,No,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,Morally opposed,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,3,NA
524,NO,YES,NA,No,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,It depends,Morally opposed,NO,NO,ALWAYS WRONG,YES,NO,NA,NA,NA,Excellent,R does not consent to possible data linkage,1,Agree
525,NO,NO,Should not,No,No,No,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,NA,NO,NO,Easy,Make it harder,NA,Good,R consents to possible data linkage,2,NA
526,NA,NA,It depends,No,No,No,No,NA,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NA,NA,ALWAYS WRONG,NA,NA,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,4,Agree
527,NA,NA,NA,No,No,No,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,ALWAYS WRONG,NA,NO,Very easy,Make it harder,NA,Good,R does not consent to possible data linkage,2,Disagree
528,NA,NA,It depends,NA,NA,NA,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,NA,NA,NA,Fair,R consents to possible data linkage,2,NA
529,NO,NO,Should not,No,No,No,No,NO,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Neither easy nor hard,Make it easier,NA,Good,R does not consent to possible data linkage,2,Disagree
530,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Good,R consents to possible data linkage,1,NA
531,NO,NO,It depends,Yes,No,Yes,Yes,YES,People should not be able,NA,The government should decide,NA,It depends,NO,NO,ALWAYS WRONG,YES,NO,Neither easy nor hard,Stay the same as now,NA,Fair,R consents to possible data linkage,1,Agree
532,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,Should,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Hard,Make it easier,NA,Very good,R does not consent to possible data linkage,1,Agree
533,NA,NA,NA,No,No,Yes,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,1,NA
534,NO,YES,NA,Yes,Yes,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,Should,Morally opposed,NO,NO,NA,YES,NO,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,4,NA
535,YES,YES,Should,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,YES,NA,YES,YES,Neither easy nor hard,Stay the same as now,NA,Excellent,R consents to possible data linkage,3,Strongly agree
536,NO,NO,Should not,No,No,No,Yes,NO,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,NA,NO,NO,NA,NA,NA,Excellent,R consents to possible data linkage,2,NA
537,NA,NA,Should not,Yes,No,No,Yes,NA,People should not be able,NA,NA,NA,Morally opposed,NA,NA,NA,NA,NA,Very hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,NA
538,NO,YES,NA,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,Should,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Make it harder,NA,Very good,R consents to possible data linkage,2,Agree
539,NO,YES,It depends,Yes,No,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,NO,NO,NA,YES,NO,NA,NA,NA,Very good,R consents to possible data linkage,2,NA
540,NO,NO,Should not,No,No,No,Yes,NO,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,NA,Make it harder,NA,Good,R does not consent to possible data linkage,2,Disagree
541,YES,YES,Should,Yes,No,No,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,NA,YES,YES,Easy,Stay the same as now,NOT SELECTED,Fair,R consents to possible data linkage,2,NA
542,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Good,R consents to possible data linkage,2,NA
543,NO,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,It depends,NO,NO,ALWAYS WRONG,YES,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,1,Agree
544,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,It depends,It depends,YES,NO,NA,YES,NO,Very hard,Make it harder,NA,Good,R consents to possible data linkage,2,NA
545,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,ALWAYS WRONG,NA,NA,Very easy,Make it harder,NA,Very good,R consents to possible data linkage,1,Agree
546,NO,YES,It depends,No,No,No,No,YES,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NO,NO,NA,NA,NO,NA,Make it harder,NA,Good,R consents to possible data linkage,2,NA
547,NO,YES,It depends,No,No,No,Yes,NO,People should not be able,The government should decide,NA,NA,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,NA,Make it harder,NA,Good,R consents to possible data linkage,2,Strongly agree
548,YES,NA,NA,Yes,No,Yes,No,YES,NA,NA,A woman and her medical professional should decide,It depends,It depends,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Fair,R consents to possible data linkage,1,Agree
549,NO,YES,It depends,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NO,YES,ALWAYS WRONG,YES,NO,Easy,Make it easier,NA,Good,R consents to possible data linkage,1,Disagree
550,YES,YES,It depends,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,YES,YES,WRONG ONLY SOMETIMES,YES,YES,Neither easy nor hard,Stay the same as now,NA,Excellent,R consents to possible data linkage,1,Strongly agree
551,NO,NO,NA,No,No,No,Yes,YES,People should not be able,NA,The government should decide,It depends,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Very easy,Make it harder,NA,Very good,R does not consent to possible data linkage,2,Strongly agree
552,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,Easy,Stay the same as now,SEX W ACQUAINTANCE,Good,R does not consent to possible data linkage,1,Agree
553,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Easy,Make it easier,NA,Very good,R does not consent to possible data linkage,2,Agree
554,NO,NO,It depends,Yes,No,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,NO,NO,NA,YES,NO,Easy,Make it harder,NA,Very good,R does not consent to possible data linkage,3,NA
555,NA,NA,It depends,Yes,No,No,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NA,NA,ALWAYS WRONG,NA,NA,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Agree
556,NO,YES,It depends,No,No,No,No,YES,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,NO,NO,ALWAYS WRONG,YES,NO,Neither easy nor hard,Make it harder,NA,Very good,R does not consent to possible data linkage,2,Disagree
557,NA,NA,NA,No,No,No,No,NA,People should not be able,NA,A woman and her medical professional should decide,Should not,Morally opposed,NA,NA,NA,NA,NA,Very easy,Make it harder,NA,Excellent,R consents to possible data linkage,2,NA
558,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Morally opposed,NO,NO,NA,YES,NO,Hard,Make it harder,NA,Very good,R consents to possible data linkage,2,NA
559,NA,NA,NA,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Hard,Stay the same as now,NA,Very good,R consents to possible data linkage,3,NA
560,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,It depends,YES,YES,NA,YES,YES,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,3,NA
561,NA,NA,Should,Yes,No,Yes,Yes,NA,NA,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,NA,NA,NA,Very good,R consents to possible data linkage,1,Strongly agree
562,NA,NA,NA,Yes,No,No,Yes,NA,NA,A woman and her medical professional should decide,NA,It depends,It depends,NA,NA,ALWAYS WRONG,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Strongly agree
563,NA,NA,It depends,NA,NA,NA,No,NA,NA,NA,NA,NA,Morally opposed,NA,NA,ALMOST ALWAYS WRONG,YES,NA,NA,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Strongly agree
564,NO,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,WRONG ONLY SOMETIMES,YES,YES,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Agree
565,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NA,YES,YES,Hard,Make it easier,NA,Very good,R consents to possible data linkage,2,NA
566,YES,YES,Should,Yes,NA,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Make it easier,NA,Good,R consents to possible data linkage,1,NA
567,NA,NA,It depends,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,3,Disagree
568,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Neither easy nor hard,Make it easier,NA,Very good,R does not consent to possible data linkage,2,Strongly agree
569,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,It depends,Not morally opposed,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Excellent,R does not consent to possible data linkage,2,Agree
571,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NOT WRONG AT ALL,NA,NA,NA,Make it easier,NOT SELECTED,Very good,R consents to possible data linkage,1,Strongly agree
572,YES,YES,Should,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NA,YES,YES,Easy,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
573,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,NA,The government should decide,Should,Not morally opposed,NA,NA,NA,NA,NA,Neither easy nor hard,Make it easier,NA,Fair,R consents to possible data linkage,2,NA
574,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,It depends,Not morally opposed,YES,YES,NA,YES,YES,Very easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,1,NA
575,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
576,YES,YES,It depends,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,It depends,YES,NO,ALWAYS WRONG,YES,NO,Very easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,Agree
577,YES,YES,It depends,Yes,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NA,YES,YES,Easy,Stay the same as now,SEX W ACQUAINTANCE,Very good,R consents to possible data linkage,3,NA
578,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,It depends,It depends,YES,YES,NA,YES,NO,Easy,Stay the same as now,NA,Good,R consents to possible data linkage,2,NA
579,NA,NA,It depends,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Easy,Make it harder,NA,Very good,R consents to possible data linkage,1,Agree
580,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,Should,It depends,YES,YES,NOT WRONG AT ALL,YES,YES,Neither easy nor hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,Agree
581,NA,NA,Should,Yes,Yes,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,NA,NA,NA,NA,NA,Easy,Make it easier,NA,Excellent,R does not consent to possible data linkage,1,NA
582,YES,YES,NA,Yes,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,NA,Make it easier,NA,Very good,R consents to possible data linkage,2,Strongly agree
583,NO,YES,Should not,Yes,No,Yes,Yes,YES,NA,A woman and her medical professional should decide,NA,NA,It depends,NO,NO,NA,NO,NO,NA,NA,NA,Very good,R does not consent to possible data linkage,1,NA
584,NA,NA,NA,Yes,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,Should,It depends,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Neither easy nor hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,Agree
585,YES,YES,Should,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,YES,YES,NA,YES,YES,Neither easy nor hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,2,NA
586,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,1,NA
587,NA,NA,NA,Yes,No,No,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Easy,Make it harder,NA,Very good,R does not consent to possible data linkage,2,NA
588,NA,NA,Should,Yes,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,NOT WRONG AT ALL,NA,NA,Neither easy nor hard,Make it harder,NA,Excellent,R does not consent to possible data linkage,1,Strongly agree
589,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NOT WRONG AT ALL,YES,YES,Neither easy nor hard,Make it easier,NA,Very good,R does not consent to possible data linkage,1,Strongly agree
590,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Very easy,Stay the same as now,NA,Excellent,R consents to possible data linkage,3,NA
591,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Hard,Make it easier,NA,Very good,R consents to possible data linkage,3,Strongly agree
592,NO,YES,NA,Yes,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,It depends,Morally opposed,NO,NO,NA,NO,NO,Neither easy nor hard,Make it harder,NOT SELECTED,Excellent,R consents to possible data linkage,1,NA
593,NA,NA,It depends,No,No,No,Yes,NA,NA,NA,A woman and her medical professional should decide,NA,Morally opposed,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NOT SELECTED,Good,R does not consent to possible data linkage,1,NA
594,NO,NO,It depends,Yes,No,No,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,NA,NA,NO,Very easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,3,NA
595,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,Should,Not morally opposed,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Easy,Make it easier,NA,Good,R consents to possible data linkage,1,Strongly disagree
596,NA,NA,NA,Yes,No,Yes,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
597,NO,NO,NA,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,Should not,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Easy,Make it harder,NA,Good,R does not consent to possible data linkage,4,Agree
598,NO,NO,Should not,Yes,No,No,Yes,NO,People should not be able,NA,A woman and her medical professional should decide,NA,Morally opposed,NO,NO,NA,NO,NO,Easy,Make it harder,NA,Very good,R does not consent to possible data linkage,2,NA
599,NA,NA,Should,Yes,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,ALMOST ALWAYS WRONG,NA,NA,Hard,Make it easier,NA,Very good,R does not consent to possible data linkage,1,Agree
600,NA,NA,NA,Yes,No,No,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,It depends,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,NA,NA,Very good,R does not consent to possible data linkage,2,NA
601,NO,YES,It depends,Yes,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,YES,NO,ALWAYS WRONG,YES,NO,Very easy,Stay the same as now,NA,Poor,R consents to possible data linkage,2,Strongly agree
602,NA,NA,NA,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,Should,It depends,NA,NA,ALWAYS WRONG,NA,NA,Easy,Make it harder,NA,Very good,R does not consent to possible data linkage,2,Agree
603,NA,NA,NA,No,No,No,Yes,NA,People should not be able,NA,A woman and her medical professional should decide,Should not,Morally opposed,NA,NA,NA,NA,NA,NA,Make it harder,NA,Very good,R does not consent to possible data linkage,2,NA
604,NO,YES,NA,Yes,No,Yes,Yes,NO,People should be able,A woman and her medical professional should decide,NA,It depends,It depends,YES,NO,ALMOST ALWAYS WRONG,YES,NO,Hard,Stay the same as now,NA,Very good,R consents to possible data linkage,4,Agree
605,NA,NA,Should,Yes,No,No,Yes,NA,NA,A woman and her medical professional should decide,NA,NA,Not morally opposed,NA,NA,NA,NA,NA,Hard,Stay the same as now,NA,Very good,R does not consent to possible data linkage,1,Agree
606,YES,YES,NA,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,Should,It depends,NO,NO,ALWAYS WRONG,YES,YES,Very easy,Stay the same as now,NA,Fair,R consents to possible data linkage,2,Strongly agree
607,NA,NA,Should not,No,No,No,No,NA,People should not be able,NA,NA,NA,Not morally opposed,NA,NA,ALWAYS WRONG,NA,NA,Neither easy nor hard,Make it harder,NA,Excellent,R does not consent to possible data linkage,2,Agree
608,YES,YES,It depends,Yes,No,Yes,Yes,YES,People should not be able,NA,A woman and her medical professional should decide,NA,It depends,YES,NO,ALMOST ALWAYS WRONG,YES,NO,Easy,Stay the same as now,NA,Very good,R does not consent to possible data linkage,1,Strongly agree
609,NO,NO,Should not,No,No,No,No,NO,People should not be able,The government should decide,NA,NA,Morally opposed,NO,NO,NA,NO,NO,Very easy,Make it harder,NA,Very good,R consents to possible data linkage,5,NA
610,NO,YES,NA,Yes,No,Yes,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,It depends,It depends,NO,NO,WRONG ONLY SOMETIMES,NO,NO,Very easy,Stay the same as now,NA,Good,R consents to possible data linkage,4,Agree
611,NO,NO,NA,No,No,No,No,NO,People should not be able,NA,A woman and her medical professional should decide,Should not,Not morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Easy,Make it harder,NA,Fair,R consents to possible data linkage,3,Agree
612,NO,YES,It depends,No,No,No,Yes,YES,People should not be able,A woman and her medical professional should decide,NA,NA,Not morally opposed,NO,NO,NA,NO,NO,Easy,Make it harder,NA,Excellent,R consents to possible data linkage,2,NA
613,YES,YES,NA,No,No,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,It depends,Not morally opposed,YES,YES,WRONG ONLY SOMETIMES,YES,YES,NA,Stay the same as now,NA,Good,R consents to possible data linkage,2,Strongly agree
614,NA,NA,It depends,No,No,No,No,NA,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Easy,Make it harder,NA,Good,R does not consent to possible data linkage,2,Agree
615,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,WRONG ONLY SOMETIMES,NA,NA,Very hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,Agree
616,NO,NO,Should not,Yes,No,Yes,Yes,NO,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NO,NO,NA,NO,NO,Very easy,Make it harder,NA,Good,R consents to possible data linkage,2,NA
617,YES,NO,It depends,Yes,Yes,Yes,Yes,NO,People should be able,NA,A woman and her medical professional should decide,NA,It depends,YES,NA,NA,NA,NA,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,3,NA
618,NA,NA,It depends,Yes,Yes,Yes,Yes,NA,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,ALWAYS WRONG,NA,NA,Very hard,Make it harder,NA,Very good,R consents to possible data linkage,2,Agree
619,NO,YES,It depends,Yes,Yes,Yes,Yes,YES,People should be able,A woman and her medical professional should decide,NA,NA,It depends,NO,NO,NA,YES,NO,Neither easy nor hard,Make it harder,NA,Excellent,R does not consent to possible data linkage,2,NA
620,NA,NA,It depends,Yes,No,Yes,Yes,NA,People should be able,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Easy,Make it harder,NA,Very good,R consents to possible data linkage,1,NA
621,NA,NA,It depends,Yes,No,No,Yes,NA,People should not be able,A woman and her medical professional should decide,NA,NA,It depends,NA,NA,ALMOST ALWAYS WRONG,NA,NA,Easy,Stay the same as now,NA,Good,R does not consent to possible data linkage,2,Agree
622,YES,YES,It depends,Yes,Yes,Yes,Yes,YES,People should be able,NA,The government should decide,NA,It depends,YES,NO,ALWAYS WRONG,YES,YES,Neither easy nor hard,Stay the same as now,NA,Good,R does not consent to possible data linkage,3,Agree
623,NA,NA,It depends,Yes,Yes,Yes,Yes,NA,NA,NA,A woman and her medical professional should decide,NA,It depends,NA,NA,NA,NA,NA,Neither easy nor hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
624,NO,NO,NA,No,No,No,Yes,NO,People should not be able,NA,A woman and her medical professional should decide,It depends,Morally opposed,NO,NO,ALWAYS WRONG,NO,NO,Easy,Make it harder,NA,Very good,R consents to possible data linkage,2,Agree
625,NO,YES,Should not,No,No,No,Yes,YES,People should not be able,NA,NA,NA,Morally opposed,NO,NO,ALWAYS WRONG,NA,NA,Very easy,Make it harder,NA,Excellent,R does not consent to possible data linkage,2,Agree
626,YES,YES,Should,Yes,Yes,Yes,Yes,YES,People should be able,NA,A woman and her medical professional should decide,NA,Not morally opposed,YES,YES,NA,YES,YES,Hard,Stay the same as now,NA,Very good,R consents to possible data linkage,2,NA
627,NA,NA,Should not,NA,No,No,NA,NA,People should not be able,A woman and her medical professional should decide,NA,NA,Morally opposed,NA,NA,ALWAYS WRONG,NA,NA,Hard,Make it harder,NA,Very good,R does not consent to possible data linkage,2,Agree
