Mnemonic,Description
MENBEN,MEN BENEFIT FROM TRADITIONAL FAMILY
MENHRT,MEN HURT FROM TRADITIONAL FAMILY
MENTLDOC,X SHOULD GO TO PSYCHIATRIST FOR HELP
MENTLHOS,X SHOULD CHECK INTO A MENTAL HOSPITAL
MENTLILL,HOW LIKELY X IS EXPERIENCING MENTAL ILLNESS
MENTLOTH,X SHOULD GO TO OTHER MENTAL HEALTH PROFESSIONAL FOR HELP
MEOVRWRK,MEN HURT FAMILY WHEN FOCUS ON WORK TOO MUCH
MERGED,"THE ORG. WAS MERGED, TAKEN OVER"
MESERVE,MANDATORY CONSCRIPTION FOR MALES?
MHACCPTD,PERSON LIKE X HAS NO HOPE OF BEING ACCEPTED AS MEMBER
MHBRAIN,X S SITUATION CAUSED BY: BRAIN DISEASE
MHCAUSE,WHAT CAUSED X S SITUATION
MHCHRCTR,X S SITUATION CAUSED BY: BAD CHARACTER
MHCLSOTH,CLOSENESS TO PERSON WITH MENTAL HEALTH PROBLEM
MHCREATV,PEOPLE LIKE X ARE MORE CREATIVE THAN OTHERS
MHDECSLF,HOW ABLE IS X TO DECIDE WHETHER TO RECEIVE TREATMENT
MHDIAGNO,R KNOWS SOMEONE WHO HAS BEEN DIAGNOSED WITH A MENTAL HEALTH PROBLEM
MHDISOTH,HOW MUCH DISTRESS THIS PERSON CAUSED R
MHDOACTV,WHAT X SHOULD DO: GET INVOLVED IN OTHER ACTIVITIES
MHDODIET,WHAT X SHOULD DO: EAT BETTER
MHDODOC,WHAT X SHOULD DO: GO TO DOCTOR
MHDOEXRC,WHAT X SHOULD DO: START EXERCISING
MHDOFAM,WHAT X SHOULD DO: TALK TO FAMILY
MHDOFRGT,WHAT X SHOULD DO: TRY TO FORGET
MHDOFRND,WHAT X SHOULD DO: TALK TO FRIENDS
MHDOGRP,WHAT X SHOULD DO: GET INVOLVED IN A GROUP
MHDOHEAL,WHAT X SHOULD DO: GO TO SPIRITUAL HEALER
MHDOHERB,WHAT X SHOULD DO: TAKE HERBS
MHDOHOSP,WHAT X SHOULD DO: CHECK INTO A HOSPITAL
MHDOLIFE,WHAT X SHOULD DO: CHANGE LIFESTYLE
MHDOMHP,WHAT X SHOULD DO: GO TO COUNSELOR
MHDOMOVE,WHAT X SHOULD DO: MOVE TO ANOTHER LOCATION
MHDONONE,WHAT X SHOULD DO: NOTHING
MHDOOTC,WHAT X SHOULD DO: TAKE NON-PRESCRIPTION MEDICATION
MHDOOTH,WHAT X SHOULD DO: OTHER MENTIONS
MHDOPRAY,WHAT X SHOULD DO: PRAY
MHDOPSYC,WHAT X SHOULD DO: GO TO PSYCHIATRIST
MHDOREL,WHAT X SHOULD DO: TALK TO RELIC LEADER
MHDORX,WHAT X SHOULD DO: TAKE PRESCRIPTION MEDICATION
MHEXPOTH,EFFECT OF EXPERIENCES WITH THIS PERSON
MHFAMSHM,X FAMILY SHOULD BE ASHAMED TO RECEIVE GOVT ASSISTANCE
MHFEELEM,X SHOULD FEEL EMBARRASSED
MHFRIEND,R WOULD MAKE FRIENDS WITH X
MHFRIGHT,HOW FRIGHTENING MOST PEOPLE ARE IN PUBLIC PLACES
MHGENES,X S SITUATION CAUSED BY: GENETIC PROBLEM
MHGOD,X S SITUATION CAUSED BY: GOD S WILL
MHGVTDIS,GOVT RESPONSIBILITY: PROVIDE DISABILITY BENEFITS FOR X
MHGVTEDC,GOVT RESPONSIBILITY: PROVIDE FINANCIAL HELP FOR EDUCATION
MHGVTHLT,GOVT RESPONSIBILITY: PROVIDE HEALTH CARE FOR X
MHGVTHME,GOVT RESPONSIBILITY: PROVIDE HOUSING FOR X
MHGVTJOB,GOVT RESPONSIBILITY: PROVIDE JOB FOR X
MHHIRED,X SHOULD BE HIRED LIKE OTHERS
MHHLPFAM,HOW IMPORTANT: TURN TO FAMILY FOR HELP
MHHLPFRD,HOW IMPORTANT: TURN TO FRIENDS FOR HELP
MHHLPGP,HOW IMPORTANT: GO TO MEDICAL DOCTOR FOR HELP
MHHLPMHP,HOW IMPORTANT: GO TO MENTAL HEALTH PROFESSIONAL
MHHLPOTH,HOW THE TREATMENT HELPED HIM/HER WITH MENTAL HEALTH PROBLEM
MHHLPPSY,HOW IMPORTANT: GO TO PSYCHIATRIST FOR HELP
MHHLPREL,HOW IMPORTANT: TURN TO RELIGIOUS LEADER
MHHRDTLK,PEOPLE LIKE X ARE HARD TO TALK TO
MHHSPTRT,X SHOULD BE FORCED TO BE HOSPITALIZED FOR TREATMENT BY LAW
MHILLNSS,X IS EXPERIENCING MENTAL ILLNESS
MHIMPOWN,HOW LIKELY X S SITUATION WILL IMPROVE ON ITS OWN
MHIMPTRT,HOW LIKELY X S SITUATION WILL IMPROVE WITH TREATMENT
MHINTL,PEOPLE LIKE X ARE JUST AS INTELLIGENT AS ANYONE ELSE
MHKDCARE,R WOULD HAVE X CARE FOR YOUR CHILDREN
MHLESSOP,X S OPPORTUNITIES LIMITED IF PEOPLE KNOW HIS HER TREATMENT
MHLOSEFR,X WOULD LOSE FRIENDS IF PEOPLE KNOW HIS HER TREATMENT
MHLUCK,X S SITUATION CAUSED BY: BAD LUCK
MHMEDS,X SHOULD BE FORCED TO TAKE PRESCRIBED MEDICATION BY LAW
MHMNTHSP,X SHOULD BE FORCED TO GO TO MENTAL HOSPITAL BY LAW
MHMONEY,HOW ABLE IS X TO DECIDE ON MANAGING OWN MONEY
MHNEIHBR,R WOULD HAVE X AS A NEIGHBOR
MHNERVS,BEING AROUND X WOULD MAKE ME FEEL NERVOUS
MHNOKIDS,PEOPLE LIKE X SHOULDN'T BE ALLOWED TO HAVE CHILDREN
MHNOTCH,PEOPLE LIKE X SHOULDN'T BE ALLOWED TO TEACH CHILDREN.
MHNOTELL,X SHOULD FEEL AFRAID TO TELL ABOUT HIS SITUATION
MHNOTPOL,PEOPLE LIKE X SHOULDN'T BE ALLOWED TO HOLD PUBLIC OFFICE
MHOTHREL,RESULT OF MENTAL HEALTH PROBLEM TO RELATIONSHIP WITH HIM
MHOTHYOU,HOW MUCH DISTRESS HIS MENTAL HEALTH PROBLEM CAUSED R
MHOUTSDR,GETTING TREATMENT WOULD MAKE X OUTSIDER IN COMMUNITY
MHP1R1,RELATION TO PERSON 1 (1ST MENTIONED)
MHP1R2,RELATION TO PERSON 1 (2ND MENTIONED)
MHP2R1,RELATION TO PERSON 2 (1ST MENTIONED)
MHP2R2,RELATION TO PERSON 2 (2ND MENTIONED)
MHP3R1,RELATION TO PERSON 3 (1ST MENTIONED)
MHP3R2,RELATION TO PERSON 3 (2ND MENTIONED)
MHP4R1,RELATION TO PERSON 4 (1ST MENTIONED)
MHP4R2,RELATION TO PERSON 4 (2ND MENTIONED)
MHP5R1,RELATION TO PERSON 5 (1ST MENTIONED)
MHP5R2,RELATION TO PERSON 5 (2ND MENTIONED)
MHPHYSCL,X IS EXPERIENCING PHYSICAL ILLNESS
MHPRDCTV,PEOPLE LIKE X ARE JUST AS PRODUCTIVE AS OTHERS
MHPROBLM,HOW SERIOUS X S SITUATION IS
MHRAISED,X S SITUATION CAUSED BY: THE WAY RAISED
MHRELOTH,RELATIONSHIP WITH THIS PERSON AS A RESULT OF MENTAL HEALTH PROBLEM
MHRESOTH,HOW MUCH RESPONSIBILITY R HAD FOR THIS PERSON
MHSECRET,X S FAMILY BETTER OFF IF KEPT SECRET
MHSEEDOC,X SHOULD BE FORCED TO BE EXAMINED AT A CLINIC BY LAW
MHSEEPUB,HOW OFTEN R SEES SOMEONE WITH MENTAL HEALTH PROBLEM IN PUBLIC PLACES
MHSEROTH,HOW SERIOUS HIS HER MENTAL HEALTH PROBLEM WAS
MHSLFSHM,X SHOULD BE ASHAMED TO RECEIVE GOVT ASSISTANCE
MHSOCIAL,R WOULD SPEND TIME SOCIALIZING WITH X
MHSTRESS,X S SITUATION CAUSED BY: STRESS
MHSUPWRK,PEOPLE LIKE X SHOULDN'T BE ALLOWED TO SUPERVISE OTHERS AT WORK
MHSYMP,HOW MUCH R FEELS SYMPATHY FOR PPL WITH MENTAL HLTH PROBLEM IN PUBLIC PLACES
MHTREAT1,IS PERSON 1 CURRENTLY RECEIVING TREATMENT FOR THEIR MENTAL HEALTH PROBLEM
MHTREAT2,IS PERSON 2 CURRENTLY RECEIVING TREATMENT FOR THEIR MENTAL HEALTH PROBLEM
MHTREAT3,IS PERSON 3 CURRENTLY RECEIVING TREATMENT FOR THEIR MENTAL HEALTH PROBLEM
MHTREAT4,IS PERSON 4 CURRENTLY RECEIVING TREATMENT FOR THEIR MENTAL HEALTH PROBLEM
MHTREAT5,IS PERSON 5 CURRENTLY RECEIVING TREATMENT FOR THEIR MENTAL HEALTH PROBLEM
MHTREATD,R EVER TREATED FOR MH PROBLEM
MHTRTOT2,R KNOWS SOMEONE WHO RECEIVED TREATMENT FOR MENTAL HEALTH
MHTRTOTH,R PERSONALLY HAS KNOWN SOMEONE WHO RECEIVED TREATMENT
MHTRTSLF,R HAVE EVER PERSONALLY RECEIVED TREATMENT FOR MENTAL HEALTH PROBLEM
MHTRUSTY,PEOPLE LIKE X ARE JUST AS TRUSTWORTHY AS ANYONE ELSE
MHUNEASY,BEING AROUND X WOULD MAKE ME FEEL UNCOMFORTABLE
MHUNSURE,PEOPLE LIKE X ARE UNPREDICTABLE
MHUPDOWN,X IS EXPERIENCING NORMAL UPS-AND-DOWNS OF LIFE
MHVIOOTH,HOW LIKELY X VIOLENT TOWARD OTHER PEOPLE
MHVIOSLF,HOW LIKELY X VIOLENT TOWARD HIM HERSELF
MHWEDREL,R WOULD HAVE X MARRY SOMEONE RELATED TO YOU
MHWKWITH,R WOULD WORK CLOSELY WITH X ON A JOB
MILOKFE,MIL SERVICE GOOD EXPERIENCE FOR WOMEN
MILOKME,MILITARY SERVICE GOOD EXPERIENCE FOR MEN
MILPAY,PAY AND BENEFITS FOR MILITARY PERSONNEL
MILQUAL,QUALITY OF PERSONS IN MILITARY
MILSERVE,HOW IMPORTANT TO SERVE IN MILITARY WHEN NEEDED
MILVOLOK,HOW WELL HAS VOLUNTEER MILITARY WORKED?
MILWRKEV,EVER WORK FOR MILITARY OR DOD?
MILWRKNW,CURRENTLY WORK FOR MILITARY OR DOD?
MINCULT,ETHNIC MINORITIES SHOULD BE GIVEN GOV ASSISTANCE
MINDBODY,AFTERLIFE CONTRAST: SPIRITUAL OR SENSUAL
MINFOOD,IMPUTED WKLY FOOD SPENDING FOR POV LINE FAM OF 4
MINFOUR,IMPUTED POVERTY LINE FOR FAMILY OF FOUR
MININC,MINIMUM AMOUNT OF INCOME NEEDED PER WEEK
MINMILOP,MIN OPPORTUNITIES BETTER IN MILITARY?
MINTHREE,IMPUTED POVERTY LINE FOR FAMILY OF THREE
MIRACLES,BELIEF IN RELIGIOUS MIRACLES
MISSWORK,MISS WORK FOR HEALTH PAST 30 DAYS
MNILDO1,1ST MENTION WHAT R DID WHEN FELT MENTAL ILLNESS
MNILDO2,2ND MENTION WHAT R DID WHEN FELT MENTAL ILLNESS
MNILDO3,3RD MENTION WHAT R DID WHEN FELT MENTAL ILLNESS
MNILDUR,"DURATION, SEVERITY OF FEELINGS OF MENTAL ILLNESS"
MNILHLP1,1ST MENTION WHAT HELP R SOUGHT
MNILHLP2,2ND MENTION WHAT HELP R SOUGHT
MNILHLP3,3RD MENTION WHAT HELP R SOUGHT
MNILTIME,WHEN FEELINGS OF MENTAL ILLNESS HAPPENED
MNILWHY1,1ST MENTION CAUSE OF MENTAL ILLNESS FEELINGS
MNILWHY2,2ND MENTION CAUSE OF MENTAL ILLNESS FEELINGS
MNILWHY3,3RD MENTION CAUSE OF MENTAL ILLNESS FEELINGS
MNTHSUSA,HOW MANY MONTHS R HAS LIVED IN THE US
MNTLAS1,"1ST MENTION, WHAT MENTAL ILLNESS IS, ASSERTED"
MNTLAS2,"2ND MENTION, WHAT MENTAL ILLNESS IS, ASSERTED"
MNTLCARE,WERE ABLE TO GET MENTAL HEALTH CARE
MNTLDENY,EVER DENIED SERVICES UNDER PLANS PACKAGE
MNTLDIF,HOW DIFFICULT TO GET MENTAL HEALTH CARE
MNTLHLTH,DAYS OF POOR MENTAL HEALTH PAST 30 DAYS
MNTLILL,IS CHILD EXPERIENCING A MENTAL ILLNESS
MNTLIMP1,"1ST MENTION, WHAT MENTAL ILLNESS IS, IMPUTED"
MNTLIMP2,"2ND MENTION, WHAT MENTAL ILLNESS IS, IMPUTED"
MNTLIMP3,"3RD MENTION, WHAT MENTAL ILLNESS IS, IMPUTED"
MNTLOTH,"WHAT MENTAL ILLNESS IS, OTHER CODES"
MNTLREL,EFFECT OF MENTAL HEALTH PROBLEM ON RELATION WITH
MNTLSYM1,"1ST MENTION, WHAT MENTAL ILLNESS IS, SYMPTOMS"
MNTLSYM2,"2ND MENTION, WHAT MENTAL ILLNESS IS, SYMPTOMS"
MNTLSYM3,"3RD MENTION, WHAT MENTAL ILLNESS IS, SYMPTOMS"
MOBILE16,GEOGRAPHIC MOBILITY SINCE AGE 16
MODACT,R LIMITED IN MODERATE ACTIVITIES
MODE,INTERVIEW DONE IN-PERSON OR OVER THE PHONE
MODPAINT,MODERN PAINTING IS JUST SLAPPED ON
MONART,"DONE VOLUNTEER WORK IN ARTS, CULTURE, ETC"
MONDAY,ATTENDED RELIGIOUS SERVICES LAST MONDAY
MONEDUC,DONE VOLUNTEER WORK IN EDUCATION
MONENVIR,DONE VOLUNTEER WORK IN ENVIRONMENT
MONFOUND,DONE VOLUNTEER WORK IN PRIV & COMM. FOUND
MONHLTH,DONE VOLUNTEER WORK IN HEALTH PAST MONTH
MONHUMAN,DONE VOLUNTEER WORK IN HUMAN SERVICES
MONINFRM,DONE VOLUNTEER WORK IN INFORMAL-ALONE
MONINTL,DONE VOLUNTEER WORK IN INTERNATIONAL
MONITRED,COMPUTERS MONITOR MY JOB PERFORMANCE
MONOTH,DONE VOLUNTEER WORK IN OTHER (SPECIFY)
MONPOL,DONE VOLUNTEER WORK IN POLITICAL ORG. ETC
MONPUB,DONE VOLUNTEER WORK IN PUB-SOC BENEFIT
MONREC,DONE VOLUNTEER WORK IN RECREATION ADULTS
MONRELIG,DONE VOLUNTEER WORK IN RELIGIOUS ORG
MONTHLY,WHAT IS YOUR MONTHLY WAGE BEFORE TAX
MONWORK,DONE VOLUNTEER WORK IN WORK-RELATED ORG
MONYOUTH,H DONE VOLUNTEER WORK IN YOUTH DEVELOPMENT
MOODEASY,LIKE OR DISLIKE EASY LISTENING MUSIC
MOONLITE,DOES R HAVE A SECOND JOB
MORAL12,PAST 12 MONTHS R WEB TO LEARN MORAL ISSUES
MOREDAYS,DAYS PER MONTH R WORK EXTRA HOURS
MOREGOOD,I EXPECT MORE GOOD THINGS TO HAPPEN TO ME THAN BAD
MOREMPG,CARS USE LESS GASOLINE
MORENUKE,POSSIBILITY OF INCREASING ARMS RACE
MORETRDE,"MORE TRADE, LESS JOBS IN USA"
MORTRAVL,I WOULD ACCEPT A LONGER COMMUTE
MOSTACT,WHICH GROUP IS R MOST ACTIVE IN
MOSTCOM,HAVE MOST IN COMMON WITH WHICH GROUP
MOSTHRS,MOST HRS/WEEK WORKED IN PAST MONTH
MOSTIMP1,MOST IMP EVENT IN LST 60 YRS
MOSTIMP2,2ND MOST IMP EVENT IN LST 60 YRS
MOSTIMP3,3RD IMP EVENT IN LST 60 YRS
MOSTIMP4,4TH IMP EVENT IN LST 60 YRS
MOSTLOC,WHERE DOES R USE COMPUTER MOST
MOSTLUCK,GOOD THINGS ARE MOSTLY LUCK.
MOTHER,IMAGE OF GOD AS MOTHER
MOVEAWAY,I WOULD MOVE OUTSIDE THE USA FOR WORK
MOVEINUS,I WOULD MOVE WITHIN THE USA FOR WORK
MOVENEI,WILLING TO MOVE TO ANOTHER NEIGHBORHOOD
MOVENOAM,WILLING TO MOVE OUTSIDE NORTH AMERICA
MOVESTAT,WILLING TO MOVE TO ANOTHER STATE
MOVETOWN,WILLING TO MOVE TO ANOTHER TOWN OR CITY
MOVEUSA,WILLING TO MOVE OUTSIDE AMERICA
MP3,HOW FAMILIAR R IS WITH TERM MP3
MRMOM,GENDER ROLE REVERSAL HURTS FAMILY
MSLMTEMP,FEELING THERMOMETER:MUSLIMS
MTCHURH1,CHURCH GROUP1 MEETS IN THIS AREA
MTCHURH2,CHURCH GROUP2 MEETS IN THIS AREA
MTCHURH3,CHURCH GROUP3 MEETS IN THIS AREA
MTCHURH4,CHURCH GROUP4 MEETS IN THIS AREA
MTCHURH5,CHURCH GROUP5 MEETS IN THIS AREA
MTCHURH6,CHURCH GROUP6 MEETS IN THIS AREA
MTFARM1,FARM ORGANIZATION1 MEETS IN THIS AREA
MTFARM2,FARM ORGANIZATION2 MEETS IN THIS AREA
MTFARM3,FARM ORGANIZATION3 MEETS IN THIS AREA
MTFRAT1,HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP1
MTFRAT2,HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP2
MTFRAT3,HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP3
MTFRAT4,HOW MANY YEARS R BORN A MEMBER OF FRATERNITY GROUP4
MTGREEK1,SCHOOL FRARTERNITY1 MEETS IN THIS AREA
MTGREEK2,SCHOOL FRARTERNITY2 MEETS IN THIS AREA
MTGREEK3,SCHOOL FRARTERNITY3 MEETS IN THIS AREA
MTHOBBY1,HOBBY CLUB1 MEETS IN THIS AREA
MTHOBBY2,HOBBY CLUB2 MEETS IN THIS AREA
MTHOBBY3,HOBBY CLUB3 MEETS IN THIS AREA
MTINFRM1,INFORMAL GROUP1 MEETS IN THIS AREA
MTINFRM2,INFORMAL GROUP2 MEETS IN THIS AREA
MTINFRM3,INFORMAL GROUP3 MEETS IN THIS AREA
MTINFRM4,INFORMAL GROUP4 MEETS IN THIS AREA
MTINFRM5,INFORMAL GROUP5 MEETS IN THIS AREA
MTLIT1,MILITARY GROUP1 MEETS IN THIS AREA
MTLIT2,MILITARY GROUP2 MEETS IN THIS AREA
MTLIT3,MILITARY GROUP3 MEETS IN THIS AREA
MTLIT4,MILITARY GROUP4 MEETS IN THIS AREA
MTNAT1,NATIONALITY GROUP1 MEETS IN THIS AREA
MTNAT2,NATIONALITY GROUP2 MEETS IN THIS AREA
MTNAT3,NATIONALITY GROUP3 MEETS IN THIS AREA
MTOTHER1,OTHER GROUP1 MEETS IN THIS AREA
MTOTHER2,OTHER GROUP2 MEETS IN THIS AREA
MTOTHER3,OTHER GROUP3 MEETS IN THIS AREA
MTOTHER4,OTHER GROUP4 MEETS IN THIS AREA
MTOTHER5,OTHER GROUP5 MEETS IN THIS AREA
MTPOLIT1,POLITICAL CLUB1 MEETS IN THIS AREA
MTPOLIT2,POLITICAL CLUB2 MEETS IN THIS AREA
MTPOLIT3,POLITICAL CLUB3 MEETS IN THIS AREA
MTPROF1,PROFESSIONAL SOCIETY1 MEETS IN THIS AREA
MTPROF2,PROFESSIONAL SOCIETY2 MEETS IN THIS AREA
MTPROF3,PROFESSIONAL SOCIETY3 MEETS IN THIS AREA
MTPROF4,PROFESSIONAL SOCIETY4 MEETS IN THIS AREA
MTPROF5,PROFESSIONAL SOCIETY5 MEETS IN THIS AREA
MTPROF6,PROFESSIONAL SOCIETY6 MEETS IN THIS AREA
MTSCHL1,SCHOOL SERVICE GROUP1 MEETS IN THIS AREA
MTSCHL2,SCHOOL SERVICE GROUP2 MEETS IN THIS AREA
MTSCHL3,SCHOOL SERVICE GROUP3 MEETS IN THIS AREA
MTSCHL4,SCHOOL SERVICE GROUP4 MEETS IN THIS AREA
MTSERV1,SERVICE CLUB1 MEETS IN THIS AREA
MTSERV2,SERVICE CLUB2 MEETS IN THIS AREA
MTSERV3,SERVICE CLUB3 MEETS IN THIS AREA
MTSERV4,SERVICE CLUB4 MEETS IN THIS AREA
MTSERV5,SERVICE CLUB5 MEETS IN THIS AREA
MTSERV6,SERVICE CLUB6 MEETS IN THIS AREA
MTSERV7,SERVICE CLUB7 MEETS IN THIS AREA
MTSERV8,SERVICE CLUB8 MEETS IN THIS AREA
MTSPORT1,SPORT CLUB1 MEETS IN THIS AREA
MTSPORT2,SPORT CLUB2 MEETS IN THIS AREA
MTSPORT3,SPORT CLUB3 MEETS IN THIS AREA
MTSPORT4,SPORT CLUB4 MEETS IN THIS AREA
MTSPORT5,SPORT CLUB5 MEETS IN THIS AREA
MTSPORT6,SPORT CLUB6 MEETS IN THIS AREA
MTUNION1,LABOR UNION1 MEETS IN THIS AREA
MTUNION2,LABOR UNION2 MEETS IN THIS AREA
MTUNION3,LABOR UNION3 MEETS IN THIS AREA
MTUNION4,LABOR UNION4 MEETS IN THIS AREA
MTVET1,VETERAN GROUP1 MEETS IN THIS AREA
MTVET2,VETERAN GROUP2 MEETS IN THIS AREA
MTVET3,VETERAN GROUP3 MEETS IN THIS AREA
MTVET4,VETERAN GROUP4 MEETS IN THIS AREA
MTVET5,VETERAN GROUP5 MEETS IN THIS AREA
MTYOUTH1,YOUTH GROUP1 MEETS IN THIS AREA
MTYOUTH2,YOUTH GROUP2 MEETS IN THIS AREA
MTYOUTH3,YOUTH GROUP3 MEETS IN THIS AREA
MTYOUTH4,YOUTH GROUP4 MEETS IN THIS AREA
MTYOUTH5,YOUTH GROUP5 MEETS IN THIS AREA
MUSIC30,R USE MUSIC SITE IN PAST 30 DAYS
MUSICALS,LIKE OR DISLIKE BROADWAY MUSICALS
MUSICBUY,USE WEB TO BUY MUSIC AFTER HEARING ON WEB
MUSICDIF,VISIT MANY DIFFERENT TYPES OF MUSIC
MUSICGET,USE WEB TO DOWNLOAD MUSIC
MUSICINF,USE WEB TO GET MUSIC INFORMATION
MUSICLKE,VISIT SITES ABOUT MUSIC R LIKES
MUSICLST,USE WEB TO LISTEN TO RADIO
MUSICNEW,VISIT SITES ABOUT MUSIC NOT USUALLY HEARD
MUSLIMS,GROUP  - MUSLIMS
MUSTDOC,X SHOULD BE FORCED TO BE EXAMINED AT A CLINIC BY LAW
MUSTHOSP,X SHOULD BE ADMITTED TO BE HOSPITALIZED FOR TREATMENT BY LAW
MUSTMED,X SHOULD BE FORCED TO TAKE PRESCRIBED MEDICATION BY LAW
MUSTRET,GOVT SHOULD ENFORCE MANDATORY RETIREMENT
MUSTWORK,MANDATORY TO WORK EXTRA HOURS
MYFAITH,DEGREE TO WHICH FAITH IS FREE OF DOUBT
MYGOALS,IT IS EASY FOR R TO ACCOMPLISH THEIR GOALS
MYKIDS,R'S CURRENT   INSURANCE PLAN     COVERS   CHILDREN
MYPROBS1,HOW MUCH PERSON 1'S MENTAL HEALTH CONDITION CAUSES R PROBLEMS
MYPROBS2,HOW MUCH PERSON 2'S MENTAL HEALTH CONDITION CAUSES R PROBLEMS
MYPROBS3,HOW MUCH PERSON 3'S MENTAL HEALTH CONDITION CAUSES R PROBLEMS
MYPROBS4,HOW MUCH PERSON 4'S MENTAL HEALTH CONDITION CAUSES R PROBLEMS
MYPROBS5,HOW MUCH PERSON 5'S MENTAL HEALTH CONDITION CAUSES R PROBLEMS
MYSKILLS,JOB ALLOWS R USE OF SKILLS
MYWAYGOD,R HAS OWN WAY OF CONNECTING WITH GOD WITHOUT CHURCHES OR RELIGIOUS SERVICES
NAFTA1,HOW MUCH HEARD OR READ ABOUT NAFTA?
NAFTA2,AMERICA BENEFITS FROM BEING A MEMBER OF NAFTA?
NAFTA2A,AMERICA BENEFITS FROM BEING A MEMBER OF NAFTA?
NAFTA3,AMERICA SHOULD FOLLOW NAFTA DECISION
NANOBEN,BALANCE WILL BE STRONGLY IN FAVOR OF THE BENEFITS OR SLIGHTLY
NANOHARM,BALANCE WILL BE STRONGLY IN FAVOR OF THE BENEFITS OR SLIGHTLY
NANOKNW1,TRUE-FALSE: NANOTECHNOLOGY MANIPULATE EXTREMELY SMALL UNITS
NANOKNW2,TRUE-FALSE: NANOSCALE DIFFER FROM SAME MATERIAL AT LARGER SCALE
NANOTECH,HOW MUCH R HEARD ABOUT NANOTECHNOLOGY
NANOWILL,BENEFIT OF NANOTECHNOLOGY OUTWEIGH HARMFUL RESULTS
NATACCESS,TRAILS
NATACTIVE,"CYCLING, SPORTS, ETC"
NATAID,FOREIGN AID
NATAIDY,ASSISTANCE TO OTHER COUNTRIES:VER Y
NATAIDZ,HELPING OTHER COUNTRIES:VERSION Z
NATARMS,"MILITARY, ARMAMENTS, AND DEFENSE"
NATARMSY,NATIONAL DEFENSE:VERSION Y
NATARMSZ,STRENGTHENING NATIONAL DEFENSE:VER Z
NATARTS,SPENDING RIGHT AMOUNT ON ARTS
NATBORN,WHAT COUNTRY R WERE BORN IN
NATCHLD,ASSISTANCE FOR CHILDCARE
NATCITY,SOLVING PROBLEMS OF BIG CITIES
NATCITYY,ASSISTANCE TO BIG CITIES:VERSION Y
NATCITYZ,SOLVING PROBLEMS OF BIG CITIES:VER Z
NATCRIME,HALTING RISING CRIME RATE
NATCRIMY,LAW ENFORCEMENT:VERSION Y
NATCRIMZ,REDUCING CRIME:VERSION Z
NATDEG,IN WHICH COUNTRY DID YOU OBTAIN YOUR HIGHEST DEGREE?
NATDISCM,SHOULD REBUILDING COMMUNITY IN DISASTER BE GOVT RESP
NATDISIN,SHOULD HELPING PPL IN NATURAL DISASTER BE GOVT RESP
NATDRUG,DEALING WITH DRUG ADDICTION
NATDRUGY,DRUG REHABILITATION:VERSION Y
NATDRUGZ,REDUCING DRUG ADDICTION:VERSION Z
NATEDUC,IMPROVING NATIONS EDUCATION SYSTEM
NATEDUCY,EDUCATION:VERSION Y
NATEDUCZ,IMPROVING THE EDUCATION SYSTEM:VER Z
NATENRGY,DEVELOPING ALTERNATIVE ENERGY SOURCES
NATENVIR,IMPROVING & PROTECTING ENVIRONMENT
NATENVIY,THE ENVIRONMENT:VERSION Y
NATENVIZ,IMPROVING THE ENVIRONMENT:VERSION Z
NATFARE,WELFARE
NATFAREY,ASSISTANCE TO THE POOR:VERSION Y
NATFAREZ,CARING FOR THE POOR:VERSION Z
NATHEAL,IMPROVING & PROTECTING NATIONS HEALTH
NATHEALY,HEALTH:VERSION Y
NATHEALZ,IMPROVING HEALTH:VERSION Z
NATLACK,THERE IS A LACK OF INTERESTING ACTIVITIES IN NATURAL ENVIRONMENTS
NATLART,FEEL FED GOV SHOULD PROVIDE ASSISTANCE TO ART
NATMASS,MASS TRANSPORTATION
NATMASSZ,IMPROVING MASS TRANSIT:VERSION Z
NATMEET,COMMUNITY
NATNOTICE,"WATER, WILDLIFE, ETC.)"
NATPARK,PARKS AND RECREATION
NATPARKZ,IMPROVING PARKS AND RECREATION:VER Z
NATRACE,IMPROVING THE CONDITIONS OF BLACKS
NATRACEY,ASSISTANCE TO BLACKS:VERSION Y
NATRACEZ,IMPROVING CONDITIONS OF BLACKS:VER Z
NATRECON,NATURAL ENVIRONMENTS SHOULD BE LEFT ALONE
NATRELAX,NATURAL ENVIRONMENTS ARE        PEACEFUL    AND RELAXING
NATROAD,HIGHWAYS AND BRIDGES
NATROADZ,IMPROVING HIGHWAYS AND BRIDGES:VER Z
NATSAT,I AM SATISFIED WITH MY DAY TO DAY EXPERIENCE OF NATURE
NATSCI,SUPPORTING SCIENTIFIC RESEARCH
NATSOC,SOCIAL SECURITY
NATSOCZ,PROTECTING SOCIAL SECURITY:VERSION Z
NATSPAC,SPACE EXPLORATION PROGRAM
NATSPACY,SPACE EXPLORATION:VERSION Y
NATSPACZ,SPACE EXPLORATION:VERSION Z
NATTIME,"TRAILS, AT LEAST ONCE A WEEK"
NATTIMEOK,I SPEND AS MUCH TIME AS I WOULD LIKE IN NATURAL ENVIRONMENTS
NATURGOD,RELATIONSHIP OF NATURE TO GOD
NATURPAX,NATURE WOULD BE AT PEACE IF HUMANS LEFT ALONE
